RunID,Date,DAQTimeLapse,DriftField_V_per_cm
361081,2019-06-28 05:54:26,39.0,230.99729241877256
361082,2019-06-28 05:56:10,39.0,230.97924187725633
361083,2019-06-28 05:57:54,39.0,230.97924187725633
361084,2019-06-28 05:59:39,38.0,231.0063176895307
361085,2019-06-28 06:01:23,39.0,230.99729241877256
361087,2019-06-28 06:04:52,38.0,230.99729241877256
361089,2019-06-28 06:08:20,38.0,230.99729241877256
361091,2019-06-28 06:11:51,38.0,230.97924187725633
361092,2019-06-28 06:13:34,38.0,230.97924187725633
361093,2019-06-28 06:15:18,39.0,231.0063176895307
361094,2019-06-28 06:17:03,38.0,230.99729241877256
361096,2019-06-28 06:20:30,38.0,230.99729241877256
361097,2019-06-28 06:22:13,39.0,230.99729241877256
361098,2019-06-28 06:23:57,39.0,230.99729241877256
361099,2019-06-28 06:25:41,38.0,231.0063176895307
361100,2019-06-28 06:27:26,38.0,230.97924187725633
361101,2019-06-28 06:29:10,38.0,230.97924187725633
361102,2019-06-28 06:30:53,39.0,231.0063176895307
361103,2019-06-28 06:32:37,39.0,230.99729241877256
361104,2019-06-28 06:34:20,39.0,231.0063176895307
361105,2019-06-28 06:36:04,38.0,231.0063176895307
361106,2019-06-28 06:37:48,38.0,230.99729241877256
361107,2019-06-28 06:39:31,39.0,230.99729241877256
361108,2019-06-28 06:41:15,38.0,230.99729241877256
361109,2019-06-28 06:42:58,39.0,231.0063176895307
361110,2019-06-28 06:44:42,38.0,230.99729241877256
361111,2019-06-28 06:46:25,38.0,230.97924187725633
361112,2019-06-28 06:48:09,39.0,230.97924187725633
361113,2019-06-28 06:49:54,39.0,231.0063176895307
361114,2019-06-28 06:51:38,38.0,230.99729241877256
361115,2019-06-28 06:53:21,39.0,230.99729241877256
361116,2019-06-28 06:55:07,38.0,230.97924187725633
361117,2019-06-28 06:56:51,38.0,230.97924187725633
361118,2019-06-28 06:58:34,38.0,230.97924187725633
361119,2019-06-28 07:00:18,38.0,231.02436823104694
361120,2019-06-28 07:02:01,39.0,230.99729241877256
361121,2019-06-28 07:03:45,38.0,230.99729241877256
361122,2019-06-28 07:05:29,39.0,231.0063176895307
361123,2019-06-28 07:07:15,38.0,231.0063176895307
361124,2019-06-28 07:09:00,38.0,230.97924187725633
361125,2019-06-28 07:10:44,38.0,230.99729241877256
361126,2019-06-28 07:12:29,38.0,230.97924187725633
361127,2019-06-28 07:14:12,39.0,231.02436823104694
361128,2019-06-28 07:15:56,38.0,230.97924187725633
361129,2019-06-28 07:17:39,39.0,230.99729241877256
